"lipid","log2FC","minus_log10_pvalue"
"LPC(20:0)",-0.758103501613913,0.503070351926785
"Cer(34:0)",-0.277780626779506,0.108462542327436
"SL(34:1)",-0.53903801750576,0.258848401148215
"SL(34:1)",-0.473754797668754,0.236572006437063
"SL(34:0)",-0.197728483126447,0.0835460514500749
"SL(34:0)",-0.264773749365911,0.123205023799299
"LPI(20:4)",-0.491732479933393,0.480172006224281
"Cer(40:1)",0.439991628519206,0.134896025358872
"LPI(20:3)",-0.677691858982747,0.739928612014925
"LPC(O-22:1)",-0.837054313182573,0.707743928643524
"LPC(21:0)",-0.462706194678692,0.273272790973428
"LPC(O-22:0)",-0.267623919737385,0.1438755557577
"Cer(36:1)",1.62274934709247,0.657577319177794
"LPC(22:6)",-1.99525467611485,1.27572413039921
"FA(44:10)",-0.657516141026729,0.334419008982047
"LPC(22:5)",-2.27625266985421,1.55752023093555
"LPC(22:4)",-2.06100748661787,1.22475374025976
"SL(35:1)",-0.720580536446843,0.350665141287858
"LPC(22:3)",-2.1383126386671,1.58335949266172
"SL(35:0)",-0.355811489430302,0.157390760389438
"LPC(22:2)",-1.45125025844366,1.04817696468409
"Cer(41:1)",0.0275134434510349,0.00877392430750515
"FA(15:3)",-0.180504669908807,0.0809219076239261
"LPC(22:1)",-0.601843773671103,0.374687549038326
"LPC(22:0)",-0.130268500185412,0.0624821079826534
"Cer(37:1)",1.14139483814359,0.393618634889395
"Cer(40:0)",-0.385972557297627,0.161780778092374
"Cer(42:3)",0.26021990302554,0.0915149811213502
"Cer(42:2)",0.184393007943022,0.0644927341752872
"Cer(42:1)",0.398755176194641,0.154901959985743
"LPC(23:0)",-0.0591284740783919,0.0291883891274822
"Cer(38:1)",1.52343073808333,0.429457060118102
"Cer(41:0)",-0.69848583032725,0.236572006437063
"Cer(38:0)",1.44602628532395,0.384049948343599
"PE-Cer(34:1)",0.757489927950679,0.234331445240986
"LPC(24:2)",-0.440046569488064,0.281498311132726
"LPC(24:1)",-0.0836740504989599,0.0433514207947967
"Cer(42:1)",-1.22113085069734,0.560667306169737
"LPC(24:0)",0.00180086147653569,0.000869458712628891
"Cer(39:1)",0.0220922115037325,0.00612308505878879
"Cer(42:0)",-0.753949627959564,0.326058001365912
"Cer(39:0)",-0.396191687860068,0.133122185662501
"PE(O-32:3)",-1.51225389365926,0.714442690992226
"Cer(38:0)",-0.197081088030306,0.07727454200674
"PA(34:2)",0.255956910273671,0.147520006363144
"Cer(40:3)",1.02366863595165,0.3767507096021
"SM(28:1)",2.29509816944428,0.686132779630847
"Cer(40:2)",0.788996969373478,0.247183568811729
"Cer(40:2)",-0.465419998196207,0.142667503568732
"LPC(25:0)",0.00561192297159963,0.00261361560268669
"Cer(40:1)",0.414413918237972,0.1249387366083
