"lipid_name","log_2_foldchange","neg_log10_p_value","lipid_class"
"PE(O-38:5)",-1.33391972179662,1.11350927482752,"non-sig"
"PE(O-38:6)",-1.83806245302635,1.25026368443094,"non-sig"
"PE(O-38:7)",-1.41375338852069,1.06854212931099,"non-sig"
"PE(O-39:2)",-1.17742174253505,0.943095148663527,"non-sig"
"PE(O-39:4)",-1.31413209407676,1.22402566887063,"non-sig"
"PE(O-39:5)",-1.4546403948919,0.962573502059376,"non-sig"
"PE(O-39:6)",-0.658125269980239,0.246416941107093,"non-sig"
"PE(O-39:7)",-1.74168589078466,1.11125903931711,"non-sig"
"PE(O-40:1)",-2.10595663532085,1.53910215724345,"PE"
"PE(O-40:2)",-1.36236335174376,1.17005330405836,"non-sig"
"PE(O-40:3)",-1.1650194592198,0.96657624451305,"non-sig"
"PE(O-40:4)",-1.45931764623922,1.32330639037513,"PE"
"PE(O-40:5)",-1.60699593077538,1.06098022355133,"non-sig"
"PE(O-40:6)",-1.27429548971629,1.12551818230053,"non-sig"
"PE(O-40:7)",-1.56901162671721,1.22548303427145,"non-sig"
"PE(O-40:8)",-0.937658953572022,0.920818753952375,"non-sig"
"PE(O-41:4)",-1.24580802214868,1.0695604052333,"non-sig"
"PE(O-41:6)",-0.938711896657779,0.860120913598763,"non-sig"
"PE(O-41:7)",-1.75274053614362,1.02641037657274,"non-sig"
"PE(O-42:2)",-1.70873895188213,1.21681130892474,"non-sig"
"PE(O-42:3)",-1.03753292547686,0.812479279163537,"non-sig"
"PE(O-42:4)",-1.6717396760532,1.19314197048118,"non-sig"
"PE(O-42:5)",-1.28921163266181,1.2298847052129,"non-sig"
"PE(O-42:6)",-1.30676121496216,1.15552282425432,"non-sig"
"PE(O-42:7)",-1.62693527957141,1.2020403562628,"non-sig"
"PE(O-42:8)",-1.35976630472704,1.04479346245806,"non-sig"
"PE(O-44:4)",-1.17303782264953,1.03105031901866,"non-sig"
"PE(O-44:5)",-1.16116735295749,0.96657624451305,"non-sig"
"PE(O-44:7)",-1.62281233192468,1.23882418684427,"non-sig"
"PE(O-44:8)",-1.2370428874864,1.0204516252959,"non-sig"
"PE(O-46:7)",-0.691237455145281,0.54821356447571,"non-sig"
"PE(O-46:8)",-1.26859552021764,1.0017406615763,"non-sig"
